production,5
requirement,5
collaboration,5
development,5
provide,5
consultation,5
integrated,5
proposal,5
assessments,5
operational,4
target,4
involving,4
use,4
carry,4
communicate,4
include,4
protected,4
inform,4
funding,4
implemented,4
reports,4
prepare,4
functionalities,4
effectiveness,4
build,3
coherently,3
important,3
engine,3
interest,3
comparative,3
assist,3
increase,3
establishing,3
possibility,3
national,3
explore,3
deliver,3
meet,3
aims,3
review,3
follow,3
approach,3
response,3
encouraging,3
needed,3
added,3
management,3
indicator,3
regards,3
adaptation,3
investigate,3
government,3
support,3
setting,3
initiative,3
network,3
process,3
convention,3
ecological,3
sustainable,3
identify,3
applying,3
maps,3
discussions,3
improved,3
regions,3
updating,3
specifically,3
incorporate,3
costed,3
seeking,3
analyses,3
links,3
organization,3
continue,3
relationship,2
sites,2
interaction,2
sourcing,2
finalization,2
collecting,2
publishing,2
sea,2
birds,2
format,2
articles,2
sheets,2
refinement,2
global,2
perspective,2
members,2
rigorous,2
scientifically,2
publication,2
raised,2
concerns,2
contribute,2
addressing,2
live,2
keep,2
place,2
role,2
received,2
cover,2
state,2
common,2
directive,2
alternatives,2
consistent,2
environments,2
shared,2
relevant,2
account,2
take,2
studies,2
arise,2
individual,2
forests,2
mountains,2
feedbacks,2
external,2
structural,2
time,2
control,2
biological,2
diseases,2
sectors,2
research,2
operationalise,2
put,2
scope,2
inputs,2
outputs,2
partners,2
interoperability,2
inclusive,2
call,2
details,2
electronically,2
facts,2
programme,2
institutions,2
current,2
conducting,2
level,2
toward,2
progress,2
revision,2
access,2
leads,2
dimension,2
economic,2
events,2
ensuring,2
nbsaps,2
substantial,2
additional,2
party,2
action,2
trained,2
produce,2
work,2
teams,2
demand,2
draft,2
terms,2
cooperation,2
requests,2
experts,2
agencies,2
designation,2
ocean,2
start,2
validation,2
standardisation,2
focused,2
agreements,2
undertaking,2
comparison,2
transparent,2
iied,2
project,2
scales,2
genetic,2
local,2
international,2
challenging,2
crop,2
separate,2
hold,2
statistical,2
tool,2
areas,2
calculation,2
remotely,2
achieve,2
sensed,2
agricultural,2
advanced,2
models,2
